file_name,feature_x,feature_y,is_gan
00060.png,80,93,No
00062.png,81,90,No
00062.png,123,89,No
00062.png,98,144,No
00062.png,110,83,No
00064.png,126,87,No
00064.png,76,88,No
00065.png,125,88,No
00065.png,77,87,No
00066.png,76,89,No
00066.png,127,90,No
00067.png,126,90,No
00067.png,78,92,No
00067.png,80,139,No
00067.png,72,85,No
00068.png,127,89,No
00068.png,79,89,No
00068.png,97,152,No
00068.png,100,138,No
00069.png,74,88,No
00069.png,123,90,No
00069.png,134,88,No
00070.png,128,87,No
00070.png,98,118,No
00070.png,77,91,No
00070.png,97,135,No
00071.png,126,91,No
00071.png,76,90,No
00071.png,84,136,No
00072.png,74,88,No
00072.png,127,88,No
00073.png,118,137,No
00073.png,127,90,No
00073.png,81,140,No
00073.png,75,85,No
00074.png,74,90,No
00074.png,126,86,No
00074.png,80,143,No
00075.png,126,88,No
00075.png,102,125,No
00075.png,74,87,No
00076.png,77,90,No
00076.png,125,88,No
00076.png,105,143,No
00077.png,127,87,No
00077.png,74,88,No
00077.png,105,16,No
00078.png,77,93,No
00078.png,126,90,No
00079.png,48,98,No
00079.png,126,89,No
00079.png,74,90,No
00079.png,93,146,No
00080.png,76,86,No
00080.png,127,89,No
00081.png,75,90,No
00081.png,127,89,No
00081.png,84,141,No
00081.png,100,125,No
00082.png,126,88,No
00082.png,77,89,No
00083.png,123,86,No
00084.png,79,89,No
00084.png,102,146,No
00085.png,76,90,No
00085.png,127,87,No
00085.png,102,138,No
00086.png,76,91,No
00086.png,126,90,No
00087.png,127,85,No
00087.png,118,21,No
00087.png,114,70,No
00088.png,89,145,No
00089.png,126,82,No
00089.png,95,139,No
00089.png,124,60,No
00090.png,77,90,No
00090.png,169,150,No
00090.png,127,90,No
00090.png,105,134,No
00091.png,126,86,No
00093.png,128,90,No
00094.png,78,91,No
00094.png,128,89,No
00094.png,95,148,No
00095.png,86,140,No
00096.png,128,87,No
00097.png,126,87,No
00098.png,126,89,No
00098.png,76,88,No
00099.png,127,87,No
00099.png,76,88,No
00099.png,96,149,No
00100.png,74,90,No
00100.png,126,91,No
00101.png,117,133,No
00101.png,124,90,No
00101.png,85,134,No
00101.png,73,90,No
00101.png,97,20,No
00102.png,76,89,No
00102.png,125,88,No
00102.png,99,134,No
00103.png,126,89,No
00103.png,77,87,No
00104.png,127,89,No
00104.png,76,90,No
00104.png,93,126,No
00104.png,70,79,No
00105.png,123,91,No
00106.png,127,89,No
00106.png,85,143,No
00108.png,128,89,No
00108.png,76,88,No
00110.png,77,91,No
00110.png,127,89,No
00110.png,82,139,No
00111.png,120,87,No
00111.png,96,126,No
00111.png,100,142,No
00113.png,127,89,No
00113.png,75,88,No
00114.png,80,89,No
00114.png,123,88,No
00115.png,76,92,No
00115.png,128,90,No
00116.png,78,90,No
00116.png,127,89,No
00117.png,130,87,No
00117.png,96,128,No
00117.png,75,91,No
00117.png,88,90,No
00119.png,75,90,No
00119.png,126,86,No
00119.png,86,122,No
00119.png,93,151,No
00122.png,122,92,No
00122.png,76,86,No
00123.png,125,88,No
00123.png,78,88,No
00123.png,89,86,No
00124.png,128,89,No
00125.png,121,89,No
00125.png,78,91,No
00125.png,103,140,No
00125.png,115,81,No
00126.png,127,89,No
00126.png,75,87,No
00126.png,94,87,No
00127.png,126,90,No
00127.png,74,89,No
00127.png,96,141,No
00128.png,77,87,No
00128.png,126,87,No
00129.png,131,88,No
00129.png,75,143,No
00129.png,71,88,No
00130.png,126,88,No
00130.png,76,89,No
00131.png,128,92,No
00131.png,115,138,No
00131.png,75,88,No
00132.png,125,89,No
00132.png,77,89,No
00133.png,128,88,No
00133.png,80,142,No
00133.png,78,90,No
00134.png,127,89,No
00134.png,76,89,No
00134.png,112,141,No
00135.png,127,90,No
00135.png,77,90,No
00136.png,129,86,No
00136.png,81,135,No
00136.png,77,95,No
00136.png,118,20,No
00137.png,79,91,No
00137.png,128,90,No
00137.png,80,135,No
00138.png,125,89,No
00138.png,76,88,No
00139.png,110,136,No
00139.png,124,87,No
00140.png,78,90,No
00140.png,126,89,No
00140.png,81,139,No
00141.png,77,90,No
00141.png,126,91,No
00141.png,102,136,No
00142.png,126,92,No
00142.png,76,89,No
00142.png,112,88,No
00143.png,73,89,No
00143.png,128,88,No
00144.png,126,89,No
00144.png,75,90,No
00145.png,125,89,No
00145.png,77,89,No
00145.png,88,77,No
00146.png,128,88,No
00146.png,75,87,No
00147.png,125,88,No
00147.png,77,89,No
00147.png,103,142,No
00148.png,127,89,No
00148.png,75,89,No
00149.png,126,89,No
00149.png,76,89,No
00150.png,127,90,No
00150.png,76,91,No
00150.png,84,139,No
00151.png,77,89,No
00151.png,126,87,No
00152.png,78,90,No
00152.png,127,90,No
00152.png,114,143,No
00153.png,102,143,No
00154.png,101,149,No
00154.png,122,87,No
00155.png,127,92,No
00155.png,113,138,No
00155.png,76,90,No
00155.png,92,135,No
00156.png,76,89,No
00156.png,120,90,No
00156.png,109,140,No
00157.png,126,88,No
00157.png,77,88,No
00157.png,66,89,No
00157.png,89,81,No
00158.png,124,86,No
00158.png,77,86,No
00158.png,98,151,No
00159.png,95,145,No
00160.png,124,88,No
00160.png,79,88,No
00161.png,125,90,No
00161.png,75,90,No
00161.png,96,139,No
00162.png,104,37,No
00162.png,86,138,No
00163.png,76,89,No
00163.png,127,90,No
00164.png,76,92,No
00164.png,20,51,No
00164.png,127,89,No
00164.png,77,141,No
00166.png,127,90,No
00166.png,75,88,No
00167.png,74,90,No
00167.png,127,90,No
00168.png,126,90,No
00168.png,74,88,No
00169.png,111,135,No
00169.png,127,87,No
00170.png,75,92,No
00170.png,127,83,No
00170.png,100,140,No
00171.png,127,90,No
00171.png,126,31,No
00172.png,127,85,No
00172.png,76,88,No
00172.png,101,141,No
00173.png,125,89,No
00173.png,85,89,No
00173.png,90,85,No
00173.png,93,141,No
00174.png,76,89,No
00174.png,126,90,No
00175.png,128,89,No
00175.png,75,90,No
00175.png,86,144,No
00176.png,127,89,No
00176.png,77,89,No
00177.png,75,88,No
00177.png,125,87,No
00178.png,126,89,No
00178.png,78,91,No
00178.png,110,12,No
00178.png,85,137,No
00179.png,76,88,No
00179.png,126,88,No
00180.png,90,123,No
00180.png,127,88,No
00180.png,97,79,No
00180.png,74,85,No
00181.png,127,89,No
00181.png,77,88,No
00182.png,131,88,No
00182.png,74,89,No
00182.png,94,137,No
00183.png,125,90,No
00183.png,121,89,No
00183.png,81,140,No
00184.png,123,90,No
00184.png,78,85,No
00184.png,104,121,No
00186.png,77,86,No
00186.png,129,88,No
00186.png,101,144,No
00186.png,101,115,No
00187.png,80,88,No
00188.png,76,92,No
00188.png,126,89,No
00189.png,126,89,No
00189.png,83,90,No
00190.png,76,89,No
00190.png,112,84,No
00191.png,128,80,No
00191.png,68,94,No
00191.png,127,94,No
00192.png,124,88,No
00192.png,86,88,No
00193.png,75,84,No
00193.png,102,142,No
00194.png,128,90,No
00194.png,75,90,No
00194.png,116,145,No
00194.png,97,139,No
00195.png,81,76,No
00196.png,76,88,No
00196.png,128,90,No
00196.png,18,183,No
00196.png,24,99,No
00197.png,76,90,No
00197.png,127,90,No
00197.png,81,141,No
00198.png,108,119,No
00198.png,76,90,No
00198.png,125,87,No
00199.png,120,88,No
00200.png,126,87,No
00200.png,77,89,No
00200.png,117,144,No
00201.png,79,88,No
00201.png,126,88,No
00201.png,104,141,No
00202.png,128,91,No
00202.png,81,134,No
00202.png,77,91,No
00203.png,125,92,No
00204.png,126,89,No
00204.png,76,90,No
00204.png,64,91,No
00206.png,76,90,No
00206.png,124,88,No
00206.png,111,134,No
00206.png,87,133,No
00206.png,81,23,No
00206.png,42,23,No
00207.png,127,89,No
00207.png,77,90,No
00207.png,81,138,No
00208.png,74,87,No
00209.png,129,88,No
00209.png,76,89,No
00209.png,114,135,No
00210.png,77,91,No
00210.png,127,88,No
00210.png,104,146,No
00211.png,126,88,No
00211.png,76,92,No
00211.png,99,131,No
00212.png,125,88,No
00212.png,73,89,No
00213.png,74,91,No
00213.png,125,87,No
00213.png,72,85,No
00214.png,125,89,No
00214.png,77,88,No
00214.png,110,144,No
00215.png,75,87,No
00215.png,125,90,No
00215.png,97,120,No
00215.png,88,139,No
00215.png,174,56,No
00216.png,104,116,No
00216.png,125,91,No
00216.png,110,115,No
00216.png,73,83,No
00216.png,113,154,No
00217.png,188,63,No
00217.png,124,90,No
00217.png,126,72,No
00217.png,76,89,No
00218.png,127,90,No
00218.png,76,89,No
00219.png,127,87,No
00220.png,126,89,No
00221.png,128,89,No
00221.png,76,89,No
00222.png,125,88,No
00222.png,78,87,No
00222.png,102,139,No
00223.png,56,28,No
00223.png,124,90,No
00223.png,79,138,No
00224.png,126,89,No
00224.png,76,87,No
00225.png,128,85,No
00225.png,78,89,No
00226.png,91,124,No
00226.png,128,86,No
00226.png,77,89,No
00226.png,21,85,No
00227.png,126,89,No
00227.png,74,89,No
00228.png,84,91,No
00228.png,126,92,No
00229.png,127,91,No
00229.png,73,92,No
00229.png,83,92,No
00230.png,126,88,No
00230.png,76,88,No
00231.png,129,88,No
00232.png,124,88,No
00233.png,76,89,No
00233.png,128,88,No
00233.png,31,79,No
00234.png,125,89,No
00235.png,121,88,No
00235.png,81,90,No
00236.png,78,88,No
00236.png,126,87,No
00237.png,77,91,No
00237.png,129,86,No
00238.png,81,138,No
00238.png,76,90,No
00238.png,126,88,No
00238.png,110,136,No
00238.png,123,70,No
00239.png,87,120,No
00240.png,126,89,No
00240.png,77,90,No
00240.png,80,144,No
00240.png,82,82,No
00241.png,11,171,No
00241.png,126,90,No
00242.png,78,91,No
00242.png,128,90,No
00242.png,114,142,No
00243.png,126,87,No
00243.png,77,89,No
00243.png,83,69,No
00244.png,100,123,No
00244.png,122,89,No
00244.png,78,85,No
00244.png,94,144,No
00245.png,125,86,No
00245.png,76,88,No
00246.png,126,88,No
00246.png,113,136,No
00246.png,75,88,No
00247.png,77,90,No
00247.png,127,89,No
00248.png,167,71,No
00248.png,79,91,No
00248.png,128,91,No
00248.png,80,138,No
00248.png,78,71,No
00249.png,127,89,No
00249.png,79,91,No
00249.png,118,137,No
00249.png,83,136,No
00250.png,118,136,No
00251.png,80,91,No
00251.png,128,89,No
00251.png,82,139,No
00251.png,119,141,No
00251.png,76,81,No
00251.png,107,24,No
00252.png,76,90,No
00252.png,128,88,No
00252.png,86,71,No
00253.png,77,90,No
00253.png,130,86,No
00254.png,127,90,No
00254.png,74,86,No
00255.png,123,90,No
00255.png,80,90,No
00255.png,109,139,No
00255.png,86,70,No
00256.png,126,90,No
00256.png,126,74,No
00256.png,76,90,No
00256.png,108,138,No
00257.png,126,88,No
00257.png,102,116,No
00258.png,75,90,No
00258.png,125,89,No
00258.png,96,124,No
00259.png,126,89,No
00259.png,76,91,No
00260.png,126,87,No
00260.png,74,87,No
00260.png,76,69,No
00261.png,73,88,No
00261.png,125,85,No
00261.png,104,117,No
00261.png,86,144,No
00262.png,127,88,No
00262.png,74,89,No
00263.png,77,90,No
00263.png,127,89,No
00264.png,125,91,No
00265.png,126,90,No
00265.png,76,88,No
00266.png,127,89,No
00266.png,77,89,No
00266.png,82,136,No
00267.png,78,88,No
00267.png,126,90,No
00267.png,83,143,No
00267.png,115,146,No
00268.png,84,89,No
00269.png,79,90,No
00269.png,126,87,No
00269.png,79,73,No
00270.png,127,91,No
00270.png,75,88,No
00270.png,88,71,No
00271.png,75,89,No
00271.png,85,120,No
00271.png,126,88,No
00271.png,83,140,No
00271.png,113,136,No
00272.png,75,88,No
00272.png,130,87,No
00273.png,137,17,No
00274.png,125,89,No
00275.png,76,90,No
00275.png,127,88,No
00276.png,98,119,No
00276.png,127,89,No
00276.png,76,91,No
00277.png,130,88,No
00277.png,77,89,No
00278.png,126,89,No
00278.png,80,88,No
00278.png,85,145,No
00279.png,127,87,No
00279.png,75,88,No
00279.png,37,159,No
00279.png,98,156,No
00279.png,105,142,No
00280.png,76,88,No
00280.png,129,90,No
00280.png,109,169,No
00281.png,127,89,No
00281.png,75,89,No
00282.png,130,85,No
00283.png,127,88,No
00283.png,77,91,No
00283.png,86,139,No
00283.png,106,125,No
00283.png,72,85,No
00283.png,117,137,No
00284.png,74,89,No
00284.png,127,90,No
00285.png,77,89,No
00285.png,126,88,No
00285.png,97,119,No
00285.png,98,151,No
00285.png,101,139,No
00286.png,127,89,No
00286.png,85,139,No
00286.png,76,89,No
00286.png,97,172,No
00287.png,102,123,No
00287.png,128,88,No
00287.png,80,91,No
00288.png,123,90,No
00289.png,124,87,No
00289.png,76,89,No
00289.png,138,80,No
00290.png,126,90,No
00290.png,79,88,No
00291.png,126,88,No
00291.png,76,91,No
00293.png,128,90,No
00293.png,82,90,No
00293.png,78,144,No
00294.png,128,87,No
00294.png,113,140,No
00294.png,82,91,No
00295.png,127,89,No
00295.png,90,124,No
00295.png,76,91,No
00295.png,66,92,No
00296.png,126,88,No
00296.png,77,87,No
00297.png,128,88,No
00297.png,74,88,No
00298.png,75,89,No
00298.png,129,89,No
00298.png,123,144,No
00299.png,75,88,No
00299.png,85,139,No
00300.png,74,89,No
00300.png,126,88,No
00300.png,80,139,No
00301.png,75,91,No
00301.png,128,91,No
00302.png,125,90,No
00302.png,75,88,No
00302.png,121,77,No
00303.png,126,93,No
00304.png,130,90,No
00304.png,75,84,No
00304.png,39,30,No
00304.png,66,78,No
00304.png,97,140,No
00305.png,73,92,No
00305.png,104,129,No
00305.png,128,71,No
00305.png,124,90,No
00306.png,81,142,No
00306.png,125,90,No
00306.png,74,89,No
00306.png,118,141,No
00307.png,97,130,No
00307.png,127,86,No
00307.png,188,81,No
00307.png,73,87,No
00308.png,80,91,No
00308.png,123,88,No
00308.png,102,143,No
00309.png,78,89,No
00309.png,126,89,No
00309.png,83,137,No
00309.png,104,142,No
00310.png,124,89,No
00310.png,73,90,No
00311.png,126,89,No
00311.png,76,89,No
00312.png,126,91,No
00312.png,75,90,No
00313.png,79,90,No
00313.png,124,87,No
00314.png,127,90,No
00314.png,135,173,No
00314.png,85,135,No
00314.png,117,136,No
00314.png,72,86,No
00315.png,95,37,No
00315.png,126,88,No
00315.png,75,91,No
00315.png,110,141,No
00316.png,78,89,No
00316.png,126,88,No
00316.png,87,124,No
00316.png,121,147,No
00316.png,97,154,No
00317.png,125,88,No
00317.png,73,87,No
00318.png,127,89,No
00318.png,75,88,No
00318.png,105,136,No
00319.png,126,87,No
00319.png,78,88,No
00319.png,97,137,No
00319.png,31,79,No
00320.png,77,88,No
00320.png,123,89,No
00320.png,95,126,No
00320.png,106,141,No
00321.png,77,87,No
00321.png,105,167,No
00321.png,127,85,No
00321.png,103,142,No
00322.png,76,90,No
00322.png,126,88,No
00323.png,78,89,No
00323.png,130,90,No
00324.png,126,91,No
00324.png,76,90,No
00325.png,128,89,No
00325.png,76,88,No
00326.png,120,89,No
00326.png,99,119,No
00326.png,83,85,No
00327.png,75,89,No
00327.png,124,90,No
00327.png,90,144,No
00327.png,66,86,No
00328.png,79,90,No
00328.png,128,88,No
00329.png,77,90,No
00329.png,128,89,No
00329.png,118,140,No
00329.png,108,38,No
00329.png,85,135,No
00331.png,127,90,No
00332.png,127,89,No
00332.png,76,90,No
00333.png,122,92,No
00333.png,78,78,No
00333.png,106,140,No
00334.png,73,92,No
00335.png,127,90,No
00335.png,75,90,No
00336.png,104,137,No
00336.png,125,87,No
00336.png,79,87,No
00337.png,127,87,No
00337.png,105,120,No
00337.png,76,89,No
00338.png,86,119,No
00338.png,120,82,No
00338.png,90,153,No
00339.png,115,88,No
00340.png,75,89,No
00340.png,104,123,No
00340.png,125,89,No
00340.png,80,137,No
00341.png,128,89,No
00341.png,75,90,No
00342.png,127,88,No
00342.png,111,138,No
00342.png,67,84,No
00342.png,116,84,No
00343.png,129,87,No
00343.png,94,124,No
00343.png,79,88,No
00344.png,80,88,No
00344.png,126,87,No
00345.png,127,90,No
00345.png,80,138,No
00345.png,77,91,No
00346.png,126,92,No
00346.png,75,92,No
00347.png,76,87,No
00347.png,127,88,No
00348.png,129,91,No
00348.png,77,88,No
00349.png,126,88,No
00349.png,76,89,No
00350.png,128,86,No
00350.png,99,145,No
00351.png,125,91,No
00351.png,105,121,No
00351.png,73,88,No
00352.png,131,89,No
00352.png,74,89,No
00353.png,127,89,No
00353.png,78,141,No
00353.png,76,90,No
00354.png,127,89,No
00355.png,77,90,No
00355.png,128,90,No
00355.png,124,140,No
00356.png,76,90,No
00356.png,183,59,No
00356.png,131,92,No
00356.png,84,142,No
00357.png,127,90,No
00357.png,77,90,No
00357.png,98,135,No
00358.png,81,78,No
00359.png,122,92,No
00360.png,127,89,No
00360.png,75,90,No
00360.png,101,155,No
00361.png,128,89,No
00361.png,76,89,No
00363.png,74,89,No
00363.png,127,90,No
00364.png,127,89,No
00364.png,80,159,No
00364.png,77,89,No
00364.png,44,25,No
00364.png,85,139,No
00364.png,115,136,No
00365.png,82,137,No
00365.png,75,89,No
00365.png,128,91,No
00365.png,187,71,No
00366.png,80,92,No
00366.png,114,141,No
00367.png,126,89,No
00367.png,79,90,No
00367.png,91,148,No
00368.png,127,89,No
00371.png,127,88,No
00371.png,75,90,No
00372.png,127,89,No
00372.png,73,88,No
00373.png,76,89,No
00373.png,127,90,No
00374.png,127,87,No
00374.png,81,89,No
00374.png,113,143,No
00375.png,127,89,No
00375.png,75,89,No
00376.png,76,92,No
00376.png,127,88,No
00378.png,78,89,No
00378.png,127,90,No
00378.png,85,79,No
00378.png,118,80,No
00378.png,78,132,No
00379.png,84,73,No
00380.png,75,89,No
00380.png,127,90,No
00380.png,81,139,No
00381.png,127,90,No
00382.png,126,90,No
00383.png,126,88,No
00383.png,76,88,No
00383.png,101,134,No
00384.png,114,145,No
00384.png,126,87,No
00384.png,87,143,No
00386.png,125,90,No
00386.png,75,90,No
00386.png,89,145,No
00386.png,92,42,No
00387.png,126,89,No
00387.png,77,91,No
00388.png,127,92,No
00388.png,78,91,No
00388.png,116,136,No
00389.png,124,90,No
00389.png,75,87,No
00389.png,104,129,No
00390.png,77,90,No
00390.png,127,89,No
00390.png,102,133,No
00390.png,126,75,No
00391.png,124,87,No
00391.png,107,141,No
00392.png,129,88,No
00392.png,65,91,No
00393.png,126,89,No
00393.png,74,89,No
00393.png,83,135,No
00394.png,76,89,No
00395.png,75,89,No
00395.png,126,89,No
00396.png,126,89,No
00396.png,77,86,No
00396.png,95,67,No
00397.png,86,145,No
00397.png,128,93,No
00397.png,80,83,No
00398.png,128,90,No
00398.png,98,128,No
00398.png,75,85,No
00399.png,81,90,No
00399.png,123,87,No
00399.png,102,142,No
00400.png,113,151,No
00400.png,127,88,No
00400.png,77,86,No
00401.png,124,91,No
00402.png,76,89,No
00402.png,125,88,No
00402.png,106,134,No
00403.png,123,87,No
00403.png,84,89,No
00404.png,78,91,No
00404.png,126,92,No
00404.png,75,86,No
00405.png,76,89,No
00405.png,127,87,No
00406.png,76,90,No
00406.png,127,88,No
00406.png,79,138,No
00406.png,117,141,No
00407.png,122,87,No
00407.png,103,143,No
00408.png,126,87,No
00408.png,78,87,No
00408.png,86,147,No
00410.png,78,91,No
00410.png,125,88,No
00411.png,89,119,No
00411.png,124,84,No
00411.png,93,140,No
00412.png,81,77,No
00412.png,126,74,No
00413.png,127,89,No
00413.png,118,144,No
00413.png,112,53,No
00414.png,98,116,No
00414.png,126,91,No
00414.png,77,90,No
00415.png,77,89,No
00415.png,130,87,No
00416.png,128,88,No
00416.png,77,88,No
00417.png,76,91,No
00417.png,126,90,No
00418.png,125,89,No
00418.png,75,90,No
00418.png,81,137,No
00418.png,115,78,No
00419.png,127,89,No
00419.png,78,91,No
00419.png,100,145,No
00420.png,124,91,No
00420.png,76,90,No
00420.png,112,83,No
00421.png,76,90,No
00421.png,128,90,No
00421.png,77,75,No
00422.png,126,91,No
00422.png,75,91,No
00422.png,95,96,No
00422.png,92,140,No
00423.png,81,143,No
00423.png,129,88,No
00423.png,77,90,No
00424.png,127,88,No
00424.png,75,88,No
00425.png,114,143,No
00425.png,125,86,No
00425.png,72,90,No
00426.png,131,87,No
00426.png,75,87,No
00426.png,80,148,No
00427.png,75,90,No
00427.png,126,89,No
00427.png,82,138,No
00428.png,75,89,No
00428.png,125,88,No
00428.png,94,158,No
00430.png,117,80,No
00430.png,98,141,No
00431.png,124,87,No
00431.png,78,89,No
00432.png,76,89,No
00432.png,125,91,No
00433.png,124,91,No
00433.png,122,177,No
00433.png,75,88,No
00435.png,126,90,No
00435.png,72,90,No
00435.png,81,144,No
00435.png,86,72,No
00436.png,87,92,No
00436.png,122,141,No
00436.png,83,142,No
00436.png,78,89,No
00437.png,77,87,No
00437.png,127,90,No
00438.png,125,90,No
00438.png,76,91,No
00438.png,74,81,No
00439.png,123,91,No
00439.png,148,87,No
00440.png,78,90,No
00440.png,13,96,No
00440.png,124,86,No
00440.png,110,143,No
00440.png,129,69,No
00441.png,120,87,No
00441.png,81,90,No
00441.png,117,67,No
00442.png,128,90,No
00442.png,75,88,No
00443.png,75,88,No
00443.png,126,88,No
00443.png,95,140,No
00444.png,79,89,No
00444.png,124,89,No
00445.png,128,88,No
00445.png,77,87,No
00446.png,127,91,No
00446.png,75,91,No
00447.png,125,90,No
00448.png,102,21,No
00448.png,77,141,No
00448.png,124,89,No
00448.png,75,90,No
00448.png,42,22,No
00449.png,78,89,No
00449.png,128,89,No
00450.png,123,89,No
00450.png,73,89,No
00451.png,175,105,No
00451.png,119,135,No
00451.png,125,90,No
00451.png,74,91,No
00452.png,76,90,No
00453.png,126,88,No
00453.png,75,89,No
00454.png,126,88,No
00454.png,84,144,No
00454.png,75,89,No
00455.png,126,89,No
00455.png,90,152,No
00455.png,77,90,No
00456.png,126,89,No
00456.png,76,91,No
00457.png,127,90,No
00457.png,76,87,No
00457.png,82,64,No
00458.png,126,89,No
00458.png,76,14,No
00458.png,76,89,No
00459.png,102,124,No
00459.png,126,91,No
00459.png,77,87,No
00460.png,74,88,No
00460.png,128,89,No
00461.png,75,89,No
00461.png,123,89,No
00461.png,80,142,No
00461.png,115,144,No
00462.png,78,87,No
00462.png,125,89,No
00462.png,76,69,No
00462.png,106,144,No
00463.png,77,88,No
00463.png,113,137,No
00463.png,127,86,No
00464.png,126,87,No
00464.png,82,148,No
00464.png,81,89,No
00465.png,125,90,No
00465.png,74,87,No
00466.png,130,90,No
00467.png,77,88,No
00467.png,127,86,No
00467.png,99,136,No
00468.png,120,86,No
00469.png,127,89,No
00469.png,76,91,No
00469.png,104,160,No
00470.png,125,88,No
00470.png,91,144,No
00470.png,74,90,No
00471.png,128,91,No
00472.png,126,91,No
00472.png,75,89,No
00474.png,77,91,No
00474.png,125,86,No
00474.png,102,141,No
00475.png,127,89,No
00475.png,91,124,No
00475.png,72,90,No
00475.png,81,139,No
00476.png,85,91,No
00476.png,127,88,No
00477.png,75,89,No
00477.png,127,89,No
00477.png,103,134,No
00478.png,79,88,No
00478.png,126,86,No
00479.png,99,120,No
00479.png,126,90,No
00479.png,93,144,No
00479.png,76,86,No
00479.png,66,85,No
00480.png,77,91,No
00480.png,98,149,No
00481.png,93,153,No
00481.png,127,85,No
00481.png,76,88,No
00482.png,91,125,No
00482.png,170,168,No
00482.png,126,88,No
00482.png,75,90,No
00482.png,90,143,No
00483.png,78,90,No
00483.png,126,89,No
00484.png,119,85,No
00485.png,119,89,No
00485.png,80,91,No
00486.png,128,88,No
00486.png,79,88,No
00486.png,67,84,No
00487.png,118,83,No
00487.png,129,93,No
00488.png,80,91,No
00488.png,129,86,No
00488.png,89,167,No
00489.png,77,89,No
00489.png,128,88,No
00490.png,125,87,No
00490.png,77,85,No
00491.png,126,87,No
00492.png,125,85,No
00492.png,103,139,No
00492.png,117,69,No
00493.png,118,136,No
00494.png,78,89,No
00494.png,120,87,No
00495.png,91,146,No
00495.png,88,90,No
00495.png,81,84,No
00496.png,75,90,No
00496.png,128,90,No
00496.png,81,138,No
00497.png,125,89,No
00497.png,76,90,No
00498.png,78,93,No
00498.png,126,89,No
00498.png,99,129,No
00498.png,74,83,No
00498.png,90,148,No
00499.png,126,89,No
00499.png,76,90,No
00500.png,104,140,No
00501.png,129,86,No
00501.png,84,87,No
00501.png,85,148,No
00502.png,76,89,No
00502.png,126,87,No
00503.png,125,89,No
00503.png,75,90,No
00503.png,106,120,No
00504.png,124,89,No
00504.png,78,142,No
00504.png,76,89,No
00505.png,108,13,No
00505.png,124,87,No
00505.png,100,142,No
00506.png,77,87,No
00506.png,124,90,No
00506.png,90,75,No
00507.png,125,89,No
00507.png,82,137,No
00507.png,77,88,No
00508.png,126,88,No
00508.png,75,89,No
00509.png,126,88,No
00509.png,74,90,No
00509.png,83,134,No
